City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
215,Esperance,-33.8667,121.9,59.22,75,90,15.68,AU,2022-06-12 00:42:46
216,Nabire,-3.3667,135.4833,84.22,68,24,2.28,ID,2022-06-12 00:42:46
217,Miri,4.4148,114.0089,78.94,94,40,2.3,MY,2022-06-12 00:42:47
218,Bilma,18.6853,12.9164,90.68,21,0,8.84,NE,2022-06-12 00:42:47
219,Kuminskiy,58.6667,66.5667,52.95,98,100,4.12,RU,2022-06-12 00:42:47
220,Pleshanovo,52.8333,53.4833,54.32,94,7,6.49,RU,2022-06-12 00:42:48
221,Manokwari,-0.8667,134.0833,82.9,66,92,4.18,ID,2022-06-12 00:42:48
222,Les Cayes,18.2,-73.75,77.83,87,92,1.61,HT,2022-06-12 00:42:49
223,Kalamos,38.2833,23.8667,70.03,77,12,7.78,GR,2022-06-12 00:42:49
224,Beloha,-25.1667,45.05,66.15,83,1,13.18,MG,2022-06-12 00:42:49
225,Viesca,25.35,-102.8,96.94,18,16,9.95,MX,2022-06-12 00:42:50
226,Kijang,35.2442,129.2139,73.13,68,5,17.81,KR,2022-06-12 00:42:50
227,Sur,22.5667,59.5289,84.85,74,5,6.93,OM,2022-06-12 00:42:51
228,Outlook,51.5001,-107.0513,62.44,67,46,10.89,CA,2022-06-12 00:42:51
229,Panama City,8.9936,-79.5197,80.55,86,75,8.05,PA,2022-06-12 00:39:19
230,Faanui,-16.4833,-151.75,79.72,76,10,15.48,PF,2022-06-12 00:43:52
231,San Patricio,28.017,-97.5169,91.54,70,13,16.87,US,2022-06-12 00:43:52
232,Baltiysk,54.6538,19.911,59.13,89,92,6.6,RU,2022-06-12 00:43:52
233,Meulaboh,4.1363,96.1285,75.16,89,100,4.74,ID,2022-06-12 00:43:53
234,Bay Roberts,47.5999,-53.2648,60.55,80,99,7.0,CA,2022-06-12 00:41:05
235,Los Llanos De Aridane,28.6585,-17.9182,65.95,95,75,8.05,ES,2022-06-12 00:43:53
236,Kruisfontein,-34.0033,24.7314,73.89,27,100,14.09,ZA,2022-06-12 00:43:54
237,Dikson,73.5069,80.5464,38.34,83,100,7.74,RU,2022-06-12 00:43:54
238,Tadine,-21.55,167.8833,76.1,84,75,8.61,NC,2022-06-12 00:43:54
239,Ribeira Grande,38.5167,-28.7,62.22,83,23,18.05,PT,2022-06-12 00:43:55
240,Dukat,62.55,155.55,35.02,100,100,2.84,RU,2022-06-12 00:43:55
241,Belyy,55.8402,32.9419,56.25,98,42,4.34,RU,2022-06-12 00:43:56
242,San Carlos De Bariloche,-41.1456,-71.3082,31.75,93,75,3.44,AR,2022-06-12 00:43:56
